IQN,1.1,1.2,1.3,1.4,1.5,2.6,2.7,2.8,2.9,3.1,3.11,3.12,3.13,3.14,3.15,4.16,4.17,4.18,4.19,4.2,4.21,4.22,4.23,5.24,5.25,5.26,5.27,5.28,5.29,30
1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,1,3,4,4,4,4,1,1,2,1,2,Surgeons reluctance to sign checklist
2,4,4,4,3,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,9
3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,9
4,4,4,3,2,-88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,2,2,1,9
5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,9
6,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2,4,4,4,-88,4,2,2,2,3,Lack in  team approach
7,4,4,3,4,4,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,2,3,9
8,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,2,1,4,4,4,9
9,4,3,4,3,3,3,4,4,3,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,2,2,2,1,3,9
10,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,4,1,9
11,4,4,4,3,4,4,4,4,3,4,2,4,4,4,2,2,4,4,4,3,3,2,4,4,2,2,2,4,3,9
12,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,2,1,9
13,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,3,4,9
14,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,1,3,4,4,9
15,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,3,9
